4.631,455.651,180.554,3.711,310.781
4.681,464.682,180.683,2.607,301.526
4.731,473.718,180.758,1.498,292.275
4.781,482.756,180.78,0.427,283.812
4.831,491.795,180.751,-0.623,275.921
4.881,500.83,180.67,-1.544,268.029
4.931,509.861,180.547,-2.392,260.137
4.981,518.884,180.382,-3.255,252.246
5.031,527.898,180.173,-4.147,244.578
5.081,536.9,179.924,-4.951,237.592
5.131,545.889,179.634,-5.756,230.654
5.181,554.862,179.304,-6.543,223.716
5.231,563.818,178.937,-7.241,216.778
5.281,572.755,178.537,-7.934,209.888
5.331,581.671,178.107,-8.53,203.967
5.381,590.565,177.649,-9.078,198.421
5.431,599.435,177.164,-9.631,192.876
5.481,608.281,176.651,-10.17,187.331
5.531,617.1,176.112,-10.684,181.785
5.581,625.891,175.548,-11.211,176.34
5.631,634.654,174.958,-11.688,171.071
5.681,643.387,174.346,-12.16,165.806
5.731,652.088,173.709,-12.623,160.54
5.781,660.757,173.05,-13.068,155.275
5.831,669.392,172.361,-13.679,148.839
5.881,677.991,171.591,-15.276,134.297
5.931,686.549,170.732,-17.078,118.205
5.981,695.062,169.781,-18.911,102.114
6.031,703.525,168.74,-20.616,86.022
6.081,711.933,167.617,-22.281,69.944
6.131,720.285,166.432,-23.574,57.249
6.181,728.575,165.196,-24.582,47.193
6.231,736.803,163.911,-25.508,37.137
6.281,744.965,162.581,-26.373,27.081
6.331,753.06,161.209,-27.288,17.025
6.381,761.085,159.802,-27.941,8.836
6.431,769.04,158.404,-27.78,7.188
6.481,776.925,157.017,-27.561,6.106
6.531,784.742,155.641,-27.334,5.024
6.581,792.49,154.276,-27.122,3.942
6.631,800.17,152.922,-26.915,2.875
6.681,807.782,151.58,-26.698,2.219
6.731,815.328,150.249,-26.477,1.747
6.781,822.807,148.93,-26.167,1.274
6.831,830.221,147.629,-25.843,0.801
6.881,837.57,146.343,-25.567,0.329
6.891,838.996,146.093,-25.541,0.046
6.906,841.13,145.72,-25.463,0
6.928,844.32,145.163,-25.342,0
6.96,849.083,144.332,-25.168,0
7.01,856.177,143.096,-24.917,0
7.06,863.301,141.856,-24.704,0
7.11,870.363,140.626,-24.458,0
7.16,877.364,139.411,-24.123,0
7.21,884.304,138.214,-23.771,0
7.26,891.185,137.032,-23.502,0
7.31,898.008,135.864,-23.244,0
7.36,904.772,134.708,-23.013,0
7.41,911.479,133.562,-22.816,0
7.46,918.128,132.425,-22.646,0
7.51,924.721,131.298,-22.429,0
7.56,931.258,130.183,-22.163,0
7.61,937.74,129.082,-21.88,0
7.66,944.167,127.994,-21.625,0
7.71,950.539,126.92,-21.361,0
7.76,956.859,125.857,-21.178,0
7.81,963.125,124.802,-21.043,0
